timestamp,RSSI,LQI,Ax,Ay,Az,Gx,Gy,Gz,time
1720506326,-120,16,102,-44,1026,33,-52,880,8:25:26
1720506326,-104,20,102,-44,1026,33,-52,880,8:25:26
1720506327,72,0,101,-42,1020,33,-51,880,8:25:27
1720506327,-168,4,103,-43,1025,33,-51,780,8:25:27
1720506327,-152,8,103,-43,1025,33,-51,780,8:25:27
1720506327,-104,20,103,-42,1025,33,-52,880,8:25:27
1720506327,-88,24,103,-43,1024,34,-51,880,8:25:27
1720506327,-88,24,103,-43,1024,33,-51,780,8:25:27
1720506327,-88,24,103,-43,1024,33,-51,780,8:25:27
1720506327,-104,20,102,-43,1026,33,-51,780,8:25:27
1720506327,-136,12,103,-42,1024,34,-51,780,8:25:27
1720506327,-120,16,102,-43,1025,33,-51,880,8:25:27
1720506327,-104,20,103,-43,1024,33,-51,780,8:25:27
1720506328,-120,16,102,-42,1024,34,-51,880,8:25:28
1720506328,-104,20,104,-43,1024,33,-52,880,8:25:28
1720506328,-120,16,104,-43,1024,33,-52,880,8:25:28
1720506328,-104,20,103,-43,1022,33,-50,780,8:25:28
1720506328,-104,20,103,-42,1024,33,-51,880,8:25:28
1720506328,-136,12,102,-42,1022,33,-51,880,8:25:28
1720506328,-104,20,102,-42,1022,33,-51,880,8:25:28
1720506328,-120,16,102,-42,1022,33,-51,880,8:25:28
1720506328,-136,12,103,-44,1025,33,-52,880,8:25:28
1720506328,-136,12,102,-43,1024,33,-51,880,8:25:28
1720506328,-120,16,102,-43,1024,33,-51,880,8:25:28
1720506328,-120,16,102,-43,1024,33,-51,880,8:25:28
1720506328,-136,12,102,-43,1024,33,-51,880,8:25:28
1720506328,-120,16,103,-42,1023,33,-51,780,8:25:28
1720506328,-136,12,104,-43,1026,33,-51,780,8:25:28
1720506328,-136,12,104,-43,1026,33,-51,780,8:25:28
1720506328,-136,12,103,-43,1024,33,-51,780,8:25:28
1720506329,-120,16,103,-42,1023,33,-51,780,8:25:29
1720506329,-120,16,102,-43,1028,33,-51,780,8:25:29
1720506329,-120,16,102,-43,1028,33,-51,780,8:25:29
1720506329,-120,16,102,-43,1028,33,-51,780,8:25:29
1720506329,-104,20,103,-43,1027,33,-51,780,8:25:29
1720506329,-104,20,103,-43,1027,33,-51,780,8:25:29
1720506329,-72,28,104,-43,1027,32,-51,780,8:25:29
1720506329,-72,28,103,-43,1026,32,-52,880,8:25:29
1720506329,-88,24,103,-42,1027,33,-51,780,8:25:29
1720506329,-88,24,103,-43,1025,33,-52,880,8:25:29
1720506329,-88,24,102,-43,1024,33,-52,780,8:25:29
1720506329,-152,8,104,-42,1025,33,-51,780,8:25:29
1720506329,-152,8,104,-42,1025,33,-51,780,8:25:29
1720506329,-168,4,103,-42,1023,33,-51,880,8:25:29
1720506330,-152,8,103,-42,1022,33,-51,780,8:25:30
1720506330,-136,12,103,-42,1023,33,-51,780,8:25:30
1720506330,-120,16,103,-42,1023,33,-51,780,8:25:30
1720506330,-104,20,103,-42,1023,34,-50,780,8:25:30
1720506330,-152,8,102,-42,1022,34,-51,780,8:25:30
1720506330,-136,12,103,-42,1023,33,-50,780,8:25:30
